Scheme Name,Category,Min Investment (₹),Risk Level,1Y Returns (%),3Y Returns (%),5Y Returns (%),Expense Ratio (%),AUM (Cr),Investment Type,Scheme Type,ISIN,SIP Available
HSBC Infrastructure Fund - Direct (G),Sectoral / Thematic,5000,Very High,6.8,22.04,21.97,0.98,2305.66,Growth,Active Fund,INF917K01FW8,Yes
LIC MF Large Cap Fund - Direct (G),Large Cap Fund,5000,Very High,6.79,10.11,12.72,1.01,1414.0,Growth,Active Fund,INF767K01EJ7,Yes
Bank of India Overnight Fund - Direct (G),Overnight Fund,5000,Low,6.78,6.25,5.1,0.08,138.92,Growth,Active Fund,INF761K01EU7,No
ICICI Pru BSE Sensex Index Fund - Direct (G),Index Fund,100,Very High,6.77,11.52,14.14,0.19,1751.62,Growth,Passive Fund,INF109KB10X0,Yes
Mahindra Manulife Mid Cap Fund - Direct (G),Mid Cap Fund,1000,Very High,6.77,21.8,24.2,0.46,3326.35,Growth,Active Fund,INF174V01507,Yes
HDFC Dynamic PE Ratio Fund of Funds - Dir (G),FoFs Domestic,100,High,6.77,14.02,15.41,0.23,48.24,Growth,Active Fund,INF179KA1SC5,Yes
Mahindra Manulife Arbitrage Fund - Dir (G),Arbitrage Fund,1000,Low,6.76,5.96,,0.42,108.11,Growth,Active Fund,INF174V01AA0,Yes
UTI-BSE Sensex Index Fund - Direct (G),Index Fund,1000,Very High,6.73,11.61,,0.2,191.6,Growth,Passive Fund,INF789F1AVD7,Yes
HDFC BSE Sensex Index Fund - Direct,Index Fund,100,Very High,6.73,11.55,14.02,0.2,7798.26,Growth,Passive Fund,INF179K01WN9,Yes
AXIS Overnight Fund - Direct (G),Overnight Fund,500,Low,6.73,6.2,5.01,0.05,8869.3,Growth,Active Fund,INF846K01N65,Yes
AXIS Business Cycles Fund - Direct (G),Sectoral / Thematic,100,Very High,6.73,,,0.66,2397.21,Growth,Active Fund,INF846K016N4,Yes
Nippon India Index Fund - BSE Sensex Plan-Dir (G),Index Fund,5000,Very High,6.73,11.58,14.12,0.2,788.84,Growth,Passive Fund,INF204K01K80,Yes
HSBC Large Cap Fund - Direct (G),Large Cap Fund,5000,Very High,6.73,13.26,14.9,1.2,1827.54,Growth,Active Fund,INF336L01CM7,Yes
Tata Overnight Fund - Direct (G),Overnight Fund,5000,Low,6.72,6.18,4.99,0.06,3299.31,Growth,Active Fund,INF277K018T5,Yes
SBI BSE Sensex Index Fund - Direct (G),Index Fund,5000,Very High,6.72,,,0.23,245.13,Growth,Passive Fund,INF200KA16Y4,Yes
Nippon India Overnight Fund - Direct (G),Overnight Fund,100,Low,6.72,6.19,5.0,0.08,6970.38,Growth,Active Fund,INF204KB1R31,Yes
Mirae Asset Overnight Fund - Direct (G),Overnight Fund,5000,Low,6.71,6.19,5.03,0.08,944.06,Growth,Active Fund,INF769K01FG6,Yes
HSBC Overnight Fund - Direct (G),Overnight Fund,5000,Low,6.71,6.18,5.01,0.06,3086.96,Growth,Active Fund,INF336L01OF6,Yes
Aditya Birla SL Overnight Fund - Dir (G),Overnight Fund,500,Low,6.7,6.17,4.98,0.08,8032.49,Growth,Active Fund,INF209KB1ZH2,No
Union Overnight Fund - Direct (G),Overnight Fund,5000,Low,6.7,6.16,4.96,0.07,247.06,Growth,Active Fund,INF582M01FA2,Yes
Baroda BNP Paribas Overnight Fund - Direct (G),Overnight Fund,5000,Low,6.7,6.17,4.99,0.09,624.73,Growth,Active Fund,INF955L01HV4,Yes
Bandhan Overnight Fund - Direct (G),Overnight Fund,1000,Low,6.7,6.17,4.97,0.05,690.43,Growth,Active Fund,INF194KB1447,Yes
Kotak Overnight Fund - Direct (G),Overnight Fund,100,Low,6.7,6.18,4.97,0.08,6437.17,Growth,Active Fund,INF174KA1BF9,No
LIC MF Overnight Fund - Direct (G),Overnight Fund,5000,Moderately Low,6.7,6.17,4.98,0.07,1328.52,Growth,Active Fund,INF767K01QI3,Yes
UTI-Overnight Fund - Direct (G),Overnight Fund,500,Low,6.7,6.17,4.98,0.06,6405.78,Growth,Active Fund,INF789FB1S71,Yes
Invesco India Overnight Fund - Dir (G),Overnight Fund,1000,Low,6.7,6.16,4.96,0.06,1096.37,Growth,Active Fund,INF205KA1163,Yes
DSP Overnight Fund - Direct (G),Overnight Fund,100,Low,6.7,6.18,5.01,0.08,2459.35,Growth,Active Fund,INF740KA1MC8,Yes
Mahindra Manulife Overnight Fund - Dir (G),Overnight Fund,1000,Low,6.69,6.17,4.99,0.09,214.14,Growth,Active Fund,INF174V01838,No
Bajaj Finserv Overnight Fund - Direct (G),Overnight Fund,100,Low,6.69,,,0.08,342.28,Growth,Active Fund,INF0QA701177,Yes
PGIM India Overnight Fund - Direct (G),Overnight Fund,5000,Low,6.69,6.16,5.02,0.1,91.2,Growth,Active Fund,INF663L01T01,Yes
Sundaram Overnight Fund - Direct (G),Overnight Fund,5000,Low,6.69,6.16,4.96,0.07,815.29,Growth,Active Fund,INF903JA1HG5,No
TRUSTMF Overnight Fund - Direct (G),Overnight Fund,1000,Low,6.69,6.16,,0.07,196.29,Growth,Active Fund,INF0GCD01453,Yes
HDFC Equity Savings Fund - Direct (G),Equity Savings,100,Moderately High,6.68,10.37,11.65,0.91,5584.43,Growth,Active Fund,INF179K01XT4,Yes
ICICI Pru Overnight Fund - Direct (G),Overnight Fund,100,Low,6.68,6.15,4.96,0.1,11186.4,Growth,Active Fund,INF109KC11G1,Yes
SBI Overnight Fund - Direct (G),Overnight Fund,5000,Low,6.67,6.13,4.95,0.07,16755.95,Growth,Active Fund,INF200K01TK5,Yes
PGIM India Midcap Opportunities Fund - Dir (G),Mid Cap Fund,5000,Very High,6.66,12.04,24.91,0.46,10459.7,Growth,Active Fund,INF663L01DV3,Yes
Groww Overnight Fund - Direct (G),Overnight Fund,500,Low,6.66,6.01,4.85,0.14,33.51,Growth,Active Fund,INF666M01GL8,Yes
Franklin India Overnight Fund - Direct (G),Overnight Fund,5000,Low,6.64,6.11,4.91,0.1,481.19,Growth,Active Fund,INF090I01SS9,Yes
HDFC Overnight Fund - Direct (G),Overnight Fund,100,Low,6.64,6.12,4.93,0.1,11516.47,Growth,Active Fund,INF179KB1HT1,Yes
Tata BSE Sensex Index Fund - Direct,Index Fund,5000,Very High,6.64,11.44,13.87,0.27,361.4,Growth,Passive Fund,INF277K01PK1,Yes
JM Overnight Fund - Direct (G),Overnight Fund,1000,Low,6.63,6.12,4.96,0.08,104.64,Growth,Active Fund,INF192K01MB8,Yes
Edelweiss Overnight Fund - Direct (G),Overnight Fund,100,Low,6.62,6.11,4.97,0.11,315.18,Growth,Active Fund,INF754K01JV9,Yes
NJ Overnight Fund - Direct (G),Overnight Fund,5000,Low,6.62,,,0.05,165.17,Growth,Active Fund,INF0J8L01081,Yes
Helios Overnight Fund - Direct (G),Overnight Fund,5000,Low,6.61,,,0.13,145.67,Growth,Active Fund,INF0R8701079,No
Motilal Oswal Ultra Short Term Fund - Dir (G),Ultra Short Duration Fund,500,Low,6.6,5.88,4.98,0.52,513.27,Growth,Active Fund,INF247L01247,Yes
HSBC Aggressive Hybrid Fund - Direct (G),Aggressive Hybrid Fund,5000,Very High,6.59,11.63,12.88,0.81,5282.44,Growth,Active Fund,INF917K01LE4,Yes
Bandhan Multi Cap Fund - Direct (G),Multi Cap Fund,1000,Very High,6.59,17.41,,0.61,2365.16,Growth,Active Fund,INF194KB1CL0,Yes
Shriram Overnight Fund - Direct (G),Overnight Fund,5000,Low,6.59,,,0.11,178.42,Growth,Active Fund,INF680P01323,Yes
Canara Robeco Overnight Fund - Direct (G),Overnight Fund,5000,Low,6.59,6.1,4.94,0.1,626.34,Growth,Active Fund,INF760K01JM5,No
LIC MF Focused Fund - Direct (G),Focused Fund,5000,Very High,6.57,10.21,14.05,1.61,133.99,Growth,Active Fund,INF397L01KA7,Yes
LIC MF BSE Sensex Index Fund - Direct(G),Index Fund,5000,Very High,6.56,11.37,13.89,0.38,82.41,Growth,Passive Fund,INF767K01FJ4,Yes
AXIS Small Cap Fund - Direct (G),Small Cap Fund,100,Very High,6.56,17.78,23.06,0.55,23139.08,Growth,Active Fund,INF846K01K35,Yes
Aditya Birla SL Multi-Cap Fund - Dir (G),Multi Cap Fund,500,Very High,6.55,14.7,,0.8,5878.59,Growth,Active Fund,INF209KB1Y49,Yes
HSBC Managed Solutions Growth Fund - Dir (G),FoFs Domestic,5000,Very High,6.52,12.53,14.76,0.99,39.57,Growth,Active Fund,INF336L01ID3,Yes
Union Multicap Fund - Direct (G),Multi Cap Fund,1000,Very High,6.52,,,1.03,1041.57,Growth,Active Fund,INF582M01IO7,Yes
Samco Overnight Fund - Direct (G),Overnight Fund,5000,Low,6.49,,,0.13,49.59,Growth,Active Fund,INF0K1H01040,Yes
Edelweiss Balanced Advantage Fund - Dir (G),Dynamic Asset Allocation or Balanced Advantage,100,Very High,6.48,11.43,14.74,0.52,12238.46,Growth,Active Fund,INF754K01BS2,Yes
ITI Overnight Fund - Direct (G),Overnight Fund,5000,Low,6.47,5.98,4.84,0.08,18.29,Growth,Active Fund,INF00XX01564,Yes
Tata Hybrid Equity Fund - Direct (G),Aggressive Hybrid Fund,5000,Very High,6.45,12.18,14.18,0.99,3996.65,Growth,Active Fund,INF277K01MN2,Yes
SBI Retirement Benefit Fund-Aggrs Hyb Plan-Dir(G),Retirement Fund,5000,Very High,6.44,13.36,,1.06,1479.6,Growth,Active Fund,INF200KA1S97,Yes
Quant Commodities Fund - Direct (G),Sectoral / Thematic,5000,Very High,6.44,,,0.95,375.21,Growth,Active Fund,INF966L01DF3,Yes
Sundaram Large Cap Fund - Direct (G),Large Cap Fund,100,Very High,6.44,12.96,,0.66,3318.74,Growth,Active Fund,INF903JA1JC0,Yes
Mahindra Manulife Equity Savings Fund - Dir (G),Equity Savings,1000,Moderately High,6.42,10.01,12.05,0.72,564.05,Growth,Active Fund,INF174V01184,Yes
Union Midcap Fund - Direct (G),Mid Cap Fund,1000,Very High,6.4,16.98,,0.76,1301.2,Growth,Active Fund,INF582M01GI3,Yes
LIC MF Money Market Fund - Direct (G),Money Market Fund,5000,Moderately Low,6.4,,,0.59,22.48,Growth,Active Fund,INF767K01RE0,Yes
Aditya Birla SL ELSS Tax Saver Fund - Direct (G),ELSS,500,Very High,6.36,11.22,10.49,1.02,14626.04,Growth,Active Fund,INF209K01UN8,Yes
LIC MF Aggressive Hybrid Fund - Direct (G),Aggressive Hybrid Fund,5000,Very High,6.33,10.47,10.73,1.4,507.58,Growth,Active Fund,INF767K01ED0,Yes
Nippon India Retirement Fund-WC - Dir (G),Retirement Fund,500,Very High,6.31,16.32,15.26,1.03,3089.02,Growth,Active Fund,INF204KA1B72,Yes
Nippon India Equity Savings Fund - Direct (G),Equity Savings,5000,Moderately Low,6.29,8.71,6.64,0.74,699.3,Growth,Active Fund,INF204KA1W77,Yes
Motilal Oswal BSE Financials ex Bank 30 Index Fund-Dir (G),Index Fund,500,Very High,6.29,,,0.31,17.64,Growth,Passive Fund,INF247L01BC9,Yes
ICICI Pru Infrastructure Fund - Direct (G),Sectoral / Thematic,5000,Very High,6.27,28.32,28.29,1.21,7434.93,Growth,Active Fund,INF109K018M4,Yes
Nippon India Quant Fund - Direct (G),Sectoral / Thematic,5000,Very High,6.25,18.82,19.73,0.41,89.35,Growth,Active Fund,INF204K01J34,Yes
Aditya Birla SL Retirement-The 30s Plan-Dir (G),Retirement Fund,1000,Very High,6.22,12.4,11.59,1.16,373.4,Growth,Active Fund,INF209KB1I23,Yes
Quantum Nifty 50 ETF Fund of Fund - Direct (G),FoFs Domestic,500,Very High,6.21,,,0.06,24.72,Growth,Active Fund,INF082J01416,Yes
PGIM India Large Cap Fund - Direct (G),Large Cap Fund,5000,Very High,6.17,11.59,13.24,0.87,570.93,Growth,Active Fund,INF663L01GR4,Yes
Kotak Small Cap Fund - Direct (G),Small Cap Fund,100,Very High,6.15,14.76,25.06,0.57,16450.27,Growth,Active Fund,INF174K01KT2,Yes
Mahindra Manulife Flexi Cap Fund - Direct (G),Flexi Cap Fund,1000,Very High,6.15,16.03,,0.46,1399.25,Growth,Active Fund,INF174V01AS2,Yes
Franklin India NSE Nifty 50 Index Fund - Direct (G),Index Fund,5000,Very High,6.14,11.83,14.45,0.26,680.95,Growth,Passive Fund,INF090I01GS4,Yes
Motilal Oswal Nifty 50 Index Fund - Direct (G),Index Fund,500,Very High,6.11,11.96,14.82,0.15,598.24,Growth,Passive Fund,INF247L01AE7,Yes
DSP India T.I.G.E.R. Fund - Direct (G),Sectoral / Thematic,100,Very High,6.1,26.2,24.75,0.82,5003.45,Growth,Active Fund,INF740K01PU7,Yes
AXIS Nifty 50 Index Fund - Direct (G),Index Fund,100,Very High,6.1,11.88,,0.12,603.54,Growth,Passive Fund,INF846K013D2,Yes
Navi Nifty 50 Index Fund - Direct (G),Index Fund,100,Very High,6.08,11.92,,0.06,2685.55,Growth,Passive Fund,INF959L01FP2,Yes
DSP Nifty 50 Index Fund - Direct (G),Index Fund,100,Very High,6.08,11.9,14.54,0.18,661.06,Growth,Passive Fund,INF740KA1MM7,Yes
360 ONE ELSS Tax Saver Nifty 50 Index Fund-Dir (G),Passive ELSS,500,Very High,6.07,,,0.27,76.64,Growth,Active Fund,INF579M01AN2,Yes
LIC MF Children's Fund - Direct,Childrens Fund,5000,Very High,6.07,10.83,11.39,1.68,16.1,Growth,Active Fund,INF767K01FB1,Yes
Sundaram Multi Cap Fund - Direct (G),Multi Cap Fund,100,Very High,6.07,14.49,18.83,1.03,2643.76,Growth,Active Fund,INF173K01FQ0,Yes
UTI-Nifty 50 Index Fund - Direct (G),Index Fund,1000,Very High,6.07,11.9,14.65,0.17,20350.82,Growth,Passive Fund,INF789F01XA0,Yes
Nippon India Index Fund - Nifty 50 Plan - Dir (G),Index Fund,100,Very High,6.07,11.89,14.59,0.07,2100.62,Growth,Passive Fund,INF204K01H36,Yes
SBI Nifty Index Fund - Direct (G),Index Fund,5000,Very High,6.06,11.91,14.52,0.23,8752.04,Growth,Passive Fund,INF200K01TE8,Yes
Navi ELSS Tax Saver Nifty 50 Index Fund-Dir (G),Passive ELSS,500,Very High,6.06,,,0.1,79.37,Growth,Active Fund,INF959L01GR6,Yes
Aditya Birla SL Nifty 50 Index Fund - Direct (G),Index Fund,100,Very High,6.06,11.83,14.53,0.2,964.82,Growth,Passive Fund,INF209K01VY3,Yes
Baroda BNP Paribas NIFTY 50 Index Fund - Dir (G),Index Fund,5000,Very High,6.06,,,0.16,66.8,Growth,Passive Fund,INF251K01SY1,Yes
ITI Flexi Cap Fund - Direct (G),Flexi Cap Fund,5000,Very High,6.04,,,0.21,1200.6,Growth,Active Fund,INF00XX01CO7,Yes
HSBC Nifty 50 Index Fund - Direct (G),Index Fund,5000,Very High,6.04,11.89,,0.2,292.73,Growth,Passive Fund,INF917K01D12,Yes
Nippon India Focused Equity Fund - Direct (G),Focused Fund,5000,Very High,6.04,13.09,18.07,1.17,7874.78,Growth,Active Fund,INF204K01F95,Yes
LIC MF Nifty 50 Index Fund - Direct (G),Index Fund,5000,Very High,6.02,11.82,14.44,0.18,313.7,Growth,Passive Fund,INF767K01FF2,Yes
HDFC Nifty 50 Index Fund - Direct,Index Fund,100,Very High,6.02,11.87,14.57,0.2,18382.62,Growth,Passive Fund,INF179K01WM1,Yes
Bandhan Nifty 50 Index Fund - Direct (G),Index Fund,1000,Very High,6.01,11.99,14.84,0.1,1666.32,Growth,Passive Fund,INF194K012A8,Yes
ICICI Pru Nifty 50 Index Fund - Direct (G),Index Fund,100,Very High,6.0,11.85,14.62,0.18,12044.58,Growth,Passive Fund,INF109K012M7,Yes
Tata Balanced Advantage Fund - Direct (G),Dynamic Asset Allocation or Balanced Advantage,5000,Moderately High,5.98,11.74,13.79,0.42,10109.2,Growth,Active Fund,INF277K013S8,Yes
Tata Nifty 50 Index Fund - Direct,Index Fund,5000,Very High,5.98,11.86,14.58,0.2,1110.68,Growth,Passive Fund,INF277K01PJ3,Yes
UTI-Transportation & Logistics Fund - Direct (G),Sectoral / Thematic,5000,Very High,5.95,22.3,21.93,0.86,3333.95,Growth,Active Fund,INF789F01SH5,Yes
Bandhan Transportation and Logistics Fund-Dir (G),Sectoral / Thematic,1000,Moderately High,5.93,,,0.91,524.52,Growth,Active Fund,INF194KB1EB7,Yes
Kotak India EQ Contra Fund - Direct (G),Contra Fund,100,Very High,5.91,19.42,20.15,0.6,3845.07,Growth,Active Fund,INF174K01KZ9,Yes
Baroda BNP Paribas Flexi Cap Fund - Direct (G),Flexi Cap Fund,5000,Very High,5.9,,,0.95,1212.5,Growth,Active Fund,INF251K01QZ2,Yes
Edelweiss Nifty 50 Index Fund - Direct (G),Index Fund,100,Very High,5.88,11.78,,0.05,133.9,Growth,Passive Fund,INF754K01NB3,Yes
Mahindra Manulife ELSS Tax Saver Fund - Direct (G),ELSS,500,Very High,5.83,13.81,18.1,0.61,895.53,Growth,Active Fund,INF174V01093,Yes
ITI Balanced Advantage Fund - Direct (G),Dynamic Asset Allocation or Balanced Advantage,5000,Moderately High,5.82,10.44,8.18,0.63,378.3,Growth,Active Fund,INF00XX01689,Yes
Edelweiss Small Cap Fund - Direct (G),Small Cap Fund,100,Very High,5.81,19.95,27.35,0.38,4170.69,Growth,Active Fund,INF754K01JN6,Yes
HSBC Multi Cap Fund - Direct (G),Multi Cap Fund,5000,Very High,5.79,,,0.59,4253.86,Growth,Active Fund,INF336L01QN5,Yes
Kotak Nifty 50 Index Fund - Direct (G),Index Fund,100,Very High,5.77,11.75,,0.07,742.2,Growth,Passive Fund,INF174KA1HA7,Yes
Bank of India Manufacturing & Infrastr Fund-Dir (G),Sectoral / Thematic,5000,Very High,5.76,22.0,26.0,0.74,523.86,Growth,Active Fund,INF761K01702,Yes
ITI Mid Cap Fund - Direct (G),Mid Cap Fund,5000,Very High,5.74,22.3,,0.17,1095.38,Growth,Active Fund,INF00XX01929,Yes
Tata Mid Cap Growth Fund - Direct (G),Mid Cap Fund,5000,Very High,5.71,18.87,21.1,0.66,4353.63,Growth,Active Fund,INF277K01PY2,Yes
Aditya Birla SL Transportation and Logistics Fund-Dir (G),Sectoral / Thematic,500,Very High,5.71,,,0.81,1430.2,Growth,Active Fund,INF209KB15X7,Yes
DSP Multicap Fund - Direct (G),Multi Cap Fund,100,Very High,5.7,,,0.52,1899.28,Growth,Active Fund,INF740KA1UC1,Yes
ICICI Pru Nifty 100 Low Volatility 30 ETF FOF - Direct (G),FoFs Domestic,1000,Very High,5.7,15.04,,0.14,1409.78,Growth,Active Fund,INF109KC1P81,Yes
Union Retirement Fund - Direct (G),Retirement Fund,1000,Very High,5.67,,,1.16,151.86,Growth,Active Fund,INF582M01IK5,Yes
Mirae Asset Nifty 100 ESG Sector Leaders Fund of Fund-Dir (G),FoFs Domestic,5000,Very High,5.66,10.43,,0.05,96.43,Growth,Active Fund,INF769K01GQ3,Yes
360 ONE Quant Fund - Direct (G),Sectoral / Thematic,1000,Very High,5.63,22.05,,0.69,623.03,Growth,Active Fund,INF579M01AI2,Yes
Bandhan Nifty100 Low Volatility 30 Index Fund-Dir (G),Index Fund,1000,Very High,5.57,,,0.35,1413.0,Growth,Passive Fund,INF194KB1DV7,Yes
SBI Dividend Yield Fund - Direct (G),Dividend Yield Fund,5000,Very High,5.55,,,0.78,9205.99,Growth,Active Fund,INF200KA14W3,Yes
Kotak ESG Exclusionary Strategy Fund - Direct (G),Sectoral / Thematic,100,Very High,5.53,11.29,,0.88,860.61,Growth,Active Fund,INF174KA1FI4,Yes
Bank of India Small Cap Fund - Direct (G),Small Cap Fund,5000,Very High,5.52,18.39,29.28,0.45,1555.78,Growth,Active Fund,INF761K01EP7,Yes
Bandhan Nifty 100 Index Fund - Direct (G),Index Fund,1000,Very High,5.52,,,0.1,153.46,Growth,Passive Fund,INF194KB1CR7,Yes
Kotak Infrastructure & Ecoc. Reform-SP-Dir(G),Sectoral / Thematic,100,Very High,5.46,23.12,23.89,0.67,2251.13,Growth,Active Fund,INF178L01AL9,Yes
HDFC Large and Mid Cap Fund - Direct (G),Large & Mid Cap Fund,100,Very High,5.46,19.41,21.55,0.88,23139.67,Growth,Active Fund,INF179KA1RQ7,Yes
LIC MF Equity Savings Fund - Direct (G),Equity Savings,5000,Moderately High,5.45,8.01,8.23,1.32,19.9,Growth,Active Fund,INF397L01AZ5,Yes
HDFC Large Cap Fund - Direct (G),Large Cap Fund,100,Very High,5.45,16.71,17.42,1.01,35672.64,Growth,Active Fund,INF179K01YV8,Yes
Nippon India Nifty 50 Value 20 Index Fund-Dir (G),Index Fund,5000,Very High,5.44,15.06,,0.25,923.75,Growth,Passive Fund,INF204KB12Z0,Yes
AXIS Nifty 100 Index Fund - Direct (G),Index Fund,100,Very High,5.43,11.96,14.76,0.21,1680.51,Growth,Passive Fund,INF846K01S29,Yes
ICICI Pru Nifty50 Value 20 Index Fund - Dir (G),Index Fund,100,Very High,5.42,,,0.3,95.82,Growth,Passive Fund,INF109KC16T3,Yes
SBI Retirement Benefit Fund-Aggressive Plan-Dir(G),Retirement Fund,5000,Very High,5.4,14.6,,0.85,2672.92,Growth,Active Fund,INF200KA1S55,Yes
Groww Aggressive Hybrid Fund - Direct (G),Aggressive Hybrid Fund,500,High,5.39,11.8,13.11,0.85,44.77,Growth,Active Fund,INF666M01FA3,Yes
ITI Banking and Financial Services Fund-Dir (G),Sectoral / Thematic,5000,Very High,5.39,13.49,,0.44,265.94,Growth,Active Fund,INF00XX01BU6,Yes
Union Aggressive Hybrid Fund - Direct (G),Aggressive Hybrid Fund,1000,Very High,5.38,11.34,,1.25,611.21,Growth,Active Fund,INF582M01GY0,Yes
Nippon India ELSS Tax Saver Fund - Direct (G),ELSS,500,Very High,5.37,15.37,16.44,1.04,14449.23,Growth,Active Fund,INF204K01L55,Yes
Aditya Birla SL Banking&Financial Services-Dir(G),Sectoral / Thematic,1000,Very High,5.36,13.02,12.09,1.08,3101.32,Growth,Active Fund,INF209K014W1,Yes
UTI-Mid Cap Fund - Direct (G),Mid Cap Fund,5000,Very High,5.34,14.65,20.59,0.89,11124.52,Growth,Active Fund,INF789F01UA6,Yes
HDFC Business Cycle Fund - Direct (G),Sectoral / Thematic,100,Very High,5.3,,,0.78,2837.27,Growth,Active Fund,INF179KC1DY9,Yes
HSBC Focused Fund - Direct (G),Focused Fund,5000,Very High,5.25,13.95,,0.89,1627.93,Growth,Active Fund,INF336L01PB2,Yes
HDFC Nifty 100 Index Fund - Direct (G),Index Fund,100,Very High,5.22,,,0.3,287.42,Growth,Passive Fund,INF179KC1BY3,Yes
Bank of India Mid & Small Cap Equity & Debt Fund-Dir (G),Aggressive Hybrid Fund,5000,Very High,5.22,15.53,22.02,0.82,1051.92,Growth,Active Fund,INF761K01DM6,Yes
Aditya Birla SL Dividend Yield Fund - Direct (G),Dividend Yield Fund,1000,Very High,5.22,19.48,21.03,1.42,1461.33,Growth,Active Fund,INF209K01WA1,Yes
Taurus Nifty 50 Index Fund - Direct (G),Index Fund,500,Very High,5.18,11.18,14.48,0.8,4.88,Growth,Passive Fund,INF044D01CQ5,Yes
Tata Focused Equity Fund - Direct (G),Focused Fund,5000,Very High,5.18,15.1,17.83,0.62,1739.42,Growth,Active Fund,INF277K017X9,Yes
Sundaram Fin Serv Opportunities - Direct (G),Sectoral / Thematic,100,Very High,5.14,17.99,15.09,0.85,1385.95,Growth,Active Fund,INF903J01NB8,Yes
DSP Quant Fund - Direct (G),Sectoral / Thematic,100,Very High,5.14,8.47,12.63,0.55,1015.68,Growth,Active Fund,INF740KA1NQ6,Yes
ITI ELSS Tax Saver Fund - Direct (G),ELSS,500,Very High,5.09,18.48,16.77,0.57,374.22,Growth,Active Fund,INF00XX01390,Yes
Union Equity Savings Fund - Direct (G),Equity Savings,1000,Moderate,5.06,7.43,8.23,1.42,134.86,Growth,Active Fund,INF582M01EC1,Yes
Canara Robeco Value Fund - Direct (G),Value Fund,5000,Very High,5.06,19.02,,0.66,1208.76,Growth,Active Fund,INF760K01JW4,Yes
Mirae Asset Equity Allocator Fund of Fund-Dir (G),FoFs Domestic,5000,Very High,5.01,13.5,,0.06,847.92,Growth,Active Fund,INF769K01GE9,Yes
Baroda BNP Paribas Focused Fund - Direct (G),Focused Fund,5000,Very High,4.99,13.73,14.94,0.48,642.35,Growth,Active Fund,INF251K01PN0,Yes
Zerodha ELSS Tax Saver Nifty LargeMidcap 250 Index Fund-Direct (G),Passive ELSS,500,Very High,4.98,,,0.26,161.02,Growth,Active Fund,INF0R8F01026,Yes
Bandhan Sterling Value Fund - Direct (G),Value Fund,1000,Very High,4.98,17.13,23.47,0.71,9587.46,Growth,Active Fund,INF194K01Z85,Yes
Invesco India Infrastructure Fund - Direct (G),Sectoral / Thematic,1000,Very High,4.94,23.43,24.89,0.74,1496.41,Growth,Active Fund,INF205K01MD4,Yes
Templeton India Value Fund - Direct (G),Value Fund,5000,Very High,4.93,19.86,23.59,0.89,2106.97,Growth,Active Fund,INF090I01GY2,Yes
Zerodha Nifty LargeMidcap 250 Index Fund-Direct (G),Index Fund,100,Very High,4.88,,,0.26,763.17,Growth,Passive Fund,INF0R8F01018,Yes
Templeton India Equity Income Fund - Direct (G),Dividend Yield Fund,5000,Very High,4.83,18.01,23.73,1.23,2340.64,Growth,Active Fund,INF090I01IT8,Yes
UTI-BSE Housing Index Fund - Direct (G),Index Fund,1000,Very High,4.73,,,0.57,24.54,Growth,Passive Fund,INF789F1AYR1,Yes
Edelweiss Nifty 100 Quality 30 Index Fund -  Direct (G),Index Fund,100,Very High,4.71,13.43,,0.3,154.74,Growth,Passive Fund,INF754K01NJ6,Yes
Union Large & Midcap Fund - Direct (G),Large & Mid Cap Fund,1000,Very High,4.7,13.95,17.69,0.96,805.4,Growth,Active Fund,INF582M01GA0,Yes
Nippon India Flexi Cap Fund - Direct (G),Flexi Cap Fund,500,Very High,4.68,14.54,,0.46,8258.52,Growth,Active Fund,INF204KC1121,Yes
Bank of India Multi Cap Fund - Direct (G),Multi Cap Fund,5000,Very High,4.65,,,1.03,749.55,Growth,Active Fund,INF761K01FR0,Yes
Edelweiss NIFTY Large Mid Cap 250 Index Fund-Dir (G),Index Fund,100,Very High,4.65,15.95,,0.22,233.3,Growth,Passive Fund,INF754K01NR9,Yes
Aditya Birla SL Bal Bhavishya Yojna - Dir (G),Childrens Fund,1000,Very High,4.64,12.31,11.45,0.78,1031.92,Growth,Active Fund,INF209KB1E84,Yes
Union Focused Fund - Direct (G),Focused Fund,1000,Very High,4.59,10.64,15.65,1.51,396.5,Growth,Active Fund,INF582M01FS4,Yes
Kotak Multicap Fund - Direct (G),Multi Cap Fund,100,Very High,4.58,23.25,,0.42,15725.61,Growth,Active Fund,INF174KA1HV3,Yes
Union Balanced Advantage Fund - Direct (G),Dynamic Asset Allocation or Balanced Advantage,1000,High,4.53,9.52,11.84,0.91,1382.66,Growth,Active Fund,INF582M01DE9,Yes
HDFC Multi Cap Fund - Direct (G),Multi Cap Fund,100,Very High,4.52,21.09,,0.71,16088.87,Growth,Active Fund,INF179KC1BS5,Yes
Edelweiss Recently Listed IPO Fund - Dir (G),Sectoral / Thematic,100,Very High,4.49,10.21,17.96,1.0,907.41,Growth,Active Fund,INF754K01ML4,Yes
ICICI Pru Manufacturing Fund - Direct (G),Sectoral / Thematic,5000,Very High,4.47,22.74,25.08,0.72,6379.45,Growth,Active Fund,INF109KC1LJ8,Yes
Kotak BSE Housing Index Fund - Direct (G),Index Fund,100,Very High,4.47,,,0.22,17.59,Growth,Passive Fund,INF174KA1OX5,Yes
Baroda BNP Paribas Business Cycle Fund - Direct (G),Sectoral / Thematic,5000,Very High,4.45,15.61,,0.82,563.0,Growth,Active Fund,INF955L01KK1,Yes
